p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.815422526864377,0.989,0.551,0,0,Agt
0,1.0509231646097166,0.745,0.486,0,0,Folh1
0,1.8970674616043337,0.385,0.136,0,0,Calb2
0,0.5965167070341766,0.404,0.161,0,0,Slc17a6
0,1.0260491279949844,0.899,0.658,0,0,Slc7a10
0,0.5738566113651156,0.755,0.593,0,0,Cbs
0,0.3909612607702314,0.81,0.65,0,0,Slc32a1
0,1.0762635109148366,0.965,0.822,0,0,Pgm1
0,0.5160883206788981,0.816,0.673,0,0,Rapgef3
0,0.5382924447264457,0.803,0.665,0,0,Hif1a
0,1.7390978308502267,0.203,0.07,0,0,Apoc1
0,0.7732791455417951,0.961,0.838,0,0,Abca1
0,0.5655005508846296,0.794,0.671,0,0,Pcx
0,0.5820647838065197,0.91,0.794,0,0,Me1
0,0.600747212077262,0.898,0.787,0,0,Hacd2
0,0.27665146096702387,0.974,0.873,0,0,Mbp
0,0.6834416240675498,0.985,0.895,0,0,Srebf1
0,0.4278183117981418,0.925,0.846,0,0,Sorl1
0,0.5714624436901128,0.988,0.942,0,0,Fads2
0,0.539137980828468,0.996,0.952,0,0,Acsl6
0,0.48603359045809924,1,0.958,0,0,Gja1
0,0.453477273480007,0.997,0.967,0,0,Pla2g7
0,0.5001052288973038,0.998,0.975,0,0,Aqp4
0,0.36352281859589897,0.99,0.967,0,0,Lrp1
0,0.5365567812599696,1,0.992,0,0,Cd81
0,0.35281265533950723,0.997,0.992,0,0,Glud1
0,0.659841164068518,1,0.996,0,0,Atp1b2
0,0.28523594411027586,1,0.999,0,0,Ckb
7.582437600576091e-299,0.3591900043961467,0.955,0.906,3.639570048276524e-296,0,Pfkm
1.5016355508961796e-296,0.34040333999039707,0.799,0.659,7.207850644301663e-294,0,Slc2a1
3.3122441888513555e-293,0.5609115988308915,0.781,0.658,1.5898772106486507e-290,0,Pfkfb3
1.2611142146182646e-272,0.35087244267620554,0.963,0.905,6.05334823016767e-270,0,Timp3
5.541664017636477e-264,0.43319738268476726,0.881,0.808,2.659998728465509e-261,0,Fasn
1.597589531196725e-251,0.5920304283891313,0.615,0.466,7.668429749744281e-249,0,Fut9
4.323963993656614e-251,0.5042953316243871,0.487,0.323,2.0755027169551746e-248,0,Plcb4
6.626256287463668e-234,0.21999551071061818,1,0.992,3.180603017982561e-231,0,Pygb
1.1672426376981957e-222,0.5618707210473927,0.631,0.501,5.60276466095134e-220,0,Apoe
5.340094910228495e-202,0.2908080284898822,0.959,0.922,2.5632455569096774e-199,0,Hadhb
1.5204468219140562e-190,0.1495338666422068,1,1,7.29814474518747e-188,0,Ubc
1.2625554375987782e-172,0.5082250268183608,0.356,0.231,6.0602661004741355e-170,0,Atp13a5
5.889294310054064e-165,0.15502423715923808,1,0.999,2.8268612688259507e-162,0,Aldoc
8.440583305850983e-153,0.2322142477994693,0.952,0.882,4.0514799868084716e-150,0,Aldh1l1
5.597549604044045e-140,0.4956101451079935,0.506,0.391,2.6868238099411414e-137,0,Bcl2
7.310225178105354e-135,0.4851661245330678,0.542,0.431,3.50890808549057e-132,0,Lpin1
3.1118161123559133e-133,0.24561799223214376,0.921,0.88,1.4936717339308384e-130,0,Aldh2
2.2748170800850225e-132,0.40608668217120003,0.653,0.553,1.0919121984408108e-129,0,Cat
6.863515308802725e-132,0.41855661045560433,0.612,0.504,3.2944873482253084e-129,0,Ogdhl
1.238119629967672e-131,0.14165683261620865,0.999,0.999,5.942974223844826e-129,0,Ldhb
1.6648480275480292e-116,0.18861897624940527,0.988,0.975,7.99127053223054e-114,0,Cs
1.1715907732133626e-111,0.598466643847325,0.885,0.857,5.623635711424141e-109,0,Serpina3n
4.67718880184877e-108,0.3667753898655606,0.211,0.127,2.2450506248874095e-105,0,Htr2c
4.0906081554336813e-106,0.5348647289012964,0.312,0.217,1.963491914608167e-103,0,Fas
4.221054249362745e-101,0.2410159348178248,0.848,0.786,2.0261060396941177e-98,0,Smpd1
1.1855884655932358e-100,0.2500957353901687,0.751,0.645,5.690824634847532e-98,0,Prodh
8.662087277618488e-98,0.24750253821388846,0.939,0.905,4.157801893256874e-95,0,Sat1
8.433222319809743e-93,0.3444385191763717,0.615,0.524,4.0479467135086765e-90,0,Soat1
1.6433771926852023e-91,0.27169108813341125,0.631,0.544,7.888210524888971e-89,0,Gaa
6.683129239998938e-90,0.6365430910947749,0.221,0.144,3.20790203519949e-87,0,Dpyd
3.5181327121624444e-87,0.4693559278832593,0.425,0.338,1.6887037018379734e-84,0,Maob
4.933734332104083e-86,0.34868630067757655,0.581,0.497,2.36819247940996e-83,0,Acadl
3.044985723627289e-85,0.24457864702202148,0.403,0.302,1.4615931473410987e-82,0,Hsd11b1
3.7605202228629926e-84,0.2305151461564724,0.856,0.804,1.8050497069742364e-81,0,Idh1
8.2190331655056035e-84,0.27423211342114817,0.695,0.615,3.9451359194426897e-81,0,Chka
3.78409034943016e-79,0.14571911838814255,0.874,0.788,1.8163633677264768e-76,0,Vcam1
1.937554418392857e-71,0.2995776972167645,0.625,0.552,9.300261208285714e-69,0,Slc33a1
2.777902166016569e-67,0.4152057669851157,0.339,0.262,1.3333930396879532e-64,0,B3galt5
7.753749168293925e-67,0.14803469586300344,0.945,0.918,3.7217996007810835e-64,0,Tjp1
4.3940863055903236e-66,0.17193333989614223,0.893,0.844,2.1091614266833553e-63,0,Lap3
5.12934869449774e-61,0.4184409864515497,0.363,0.29,2.462087373358915e-58,0,Pnp
1.2826111585480176e-60,0.1870174146224739,0.771,0.702,6.156533561030485e-58,0,Bhlhe40
9.07092723124072e-56,0.45278482422950117,0.254,0.189,4.354045070995546e-53,0,Plin4
2.0537715404585758e-54,0.6229373240101768,0.159,0.108,9.858103394201164e-52,0,Eci1
2.2721832276177482e-54,0.14098291560274445,0.999,0.989,1.0906479492565191e-51,0,Mt2
6.130857278791492e-53,0.4098569911281218,0.281,0.215,2.9428114938199163e-50,0,Tox2
3.6397583297245362e-50,0.3360086596143522,0.501,0.438,1.7470839982677773e-47,0,Mt1
5.333319047206099e-45,0.1437258506053377,0.728,0.663,2.5599931426589274e-42,0,Dlat
1.2413414934450616e-43,0.2802832551711165,0.497,0.438,5.958439168536296e-41,0,Acaca
3.518109350936961e-40,0.12850848010616678,0.789,0.737,1.6886924884497413e-37,0,Ndufs1
