p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.4198629213337237,0.78,0.458,0,0,Mertk
0,0.6037660565604666,0.92,0.683,0,0,Slc7a10
0,1.08292165285757,0.95,0.722,0,0,Plpp3
0,0.9241972528438289,0.657,0.441,0,0,Hmgcr
0,0.9141411832793985,0.842,0.627,0,0,Tubb2b
0,0.7035240262990449,0.9,0.714,0,0,Chst1
0,0.579502478036429,0.789,0.609,0,0,Cbs
0,0.8850227424250632,0.91,0.75,0,0,Fdft1
0,0.5742739717066514,0.815,0.657,0,0,Prodh
0,1.209861567263018,0.934,0.782,0,0,Msmo1
0,0.8749832836732809,0.893,0.758,0,0,Vegfa
0,0.7881599580375007,0.948,0.818,0,0,Ids
0,0.5740414251038329,0.914,0.792,0,0,Srebf2
0,0.5457132190709753,0.919,0.811,0,0,Phgdh
0,1.2870155622059536,1,0.935,0,0,Htra1
0,0.8609180575334241,0.991,0.93,0,0,Scg3
0,0.501332342098278,0.974,0.918,0,0,Gstm1
0,0.3147172778387204,0.995,0.958,0,0,Acsl6
0,0.6033808015299997,1,0.977,0,0,Gja1
0,0.4302090730802255,0.999,0.978,0,0,Pla2g7
0,0.3375956118184589,0.992,0.972,0,0,Cs
0,0.8580443760063745,1,0.985,0,0,Glul
0,0.3154642521260467,0.996,0.984,0,0,Arhgap5
0,0.5467981481547017,1,0.999,0,0,Aldoc
0,0.4151803195423591,1,0.999,0,0,Cst3
0,0.36604057443540583,1,1,0,0,Clu
2.5116987294e-312,0.6572240782510108,0.624,0.449,9.89609299384244e-310,0,Hmgcs1
7.972466752461693e-287,0.9128145551414188,0.359,0.2,3.141151900469907e-284,0,Cox10
1.9497294495533958e-285,0.6455382400999308,0.586,0.412,7.68193403124038e-283,0,Abhd17a
2.759554979890072e-274,0.23081314153562138,0.999,0.992,1.0872646620766883e-271,0,Glud1
6.3152983043009135e-248,1.0245228415200165,0.264,0.134,2.4882275318945597e-245,0,Ldlr
8.951469284062133e-246,0.3068654514084981,0.96,0.906,3.52687889792048e-243,0,Aldh1l1
1.0612634198843404e-232,0.3326055381622639,0.895,0.814,4.181377874344301e-230,0,Vcam1
3.1846520596685823e-229,0.509795649906082,0.662,0.517,1.2547529115094215e-226,0,Pmm1
2.8291962294323354e-225,0.25119195293065477,0.98,0.956,1.1147033143963402e-222,0,Cox4i1
1.2920293514924997e-208,0.5692075505836162,0.605,0.463,5.090595644880449e-206,0,Acss2
7.543246240298344e-203,0.31820774997509105,0.887,0.805,2.9720390186775474e-200,0,Fasn
8.097911762418163e-195,0.49406906239235904,0.641,0.505,3.190577234392756e-192,0,Pfkp
1.6399894036757456e-193,0.20232013310621877,1,0.999,6.461558250482437e-191,0,Cpe
