p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.3678889943430326,0.848,0.423,0,0,Mertk
0,0.5925298983383183,0.933,0.559,0,0,Slc7a10
0,0.9967592821703262,0.898,0.547,0,0,Tubb2b
0,0.9972469207806598,0.755,0.409,0,0,Hmgcr
0,1.0628438391755273,0.96,0.619,0,0,Plpp3
0,0.7286738741014585,0.936,0.621,0,0,Chst1
0,0.9400297434510758,0.94,0.643,0,0,Fdft1
0,0.5485065660878572,0.87,0.58,0,0,Prodh
0,0.6041028613888826,0.716,0.426,0,0,Hmgcs1
0,1.1798140249320248,0.951,0.663,0,0,Msmo1
0,0.4276605091771968,0.841,0.555,0,0,Cbs
0,0.5021319187761657,0.846,0.571,0,0,Mt3
0,0.5224094837544313,0.741,0.471,0,0,Pfkp
0,0.5631894617114899,0.709,0.44,0,0,Acss2
0,0.4193414175605952,0.672,0.405,0,0,Abhd17a
0,0.8268753174918135,0.925,0.658,0,0,Vegfa
0,0.4637392616774343,0.757,0.491,0,0,Pmm1
0,0.46574721011920994,0.657,0.398,0,0,Sc5d
0,0.6175930054608445,0.943,0.688,0,0,Srebf2
0,0.5128975781947442,0.549,0.309,0,0,Ophn1
0,0.42501693493571757,0.848,0.611,0,0,Bhlhe40
0,0.6180479950769353,0.965,0.729,0,0,Ids
0,0.3537737782366923,0.926,0.701,0,0,Fasn
0,0.7517159480896056,0.417,0.194,0,0,Cox10
0,0.3956836485663153,0.922,0.708,0,0,Vcam1
0,0.4418798321498052,0.936,0.723,0,0,Phgdh
0,1.002633437178677,0.305,0.126,0,0,Ldlr
0,0.38665766394610923,0.967,0.797,0,0,Aldh1l1
0,1.183404594887313,0.999,0.831,0,0,Htra1
0,0.8121687582388093,0.991,0.827,0,0,Scg3
0,0.4902809530210259,0.979,0.823,0,0,Gstm1
0,0.2961885490621725,0.991,0.868,0,0,Acsl6
0,0.3136231715631439,0.992,0.889,0,0,Cs
0,0.5225567994577425,1,0.916,0,0,Gja1
0,0.2806551540494038,0.993,0.913,0,0,Arhgap5
0,0.3454633572403152,0.998,0.919,0,0,Pla2g7
0,0.7234175389862161,1,0.95,0,0,Glul
0,0.3586437227920083,1,0.986,0,0,Cst3
0,0.4821615405689812,1,0.989,0,0,Aldoc
0,0.2629168829422852,1,0.997,0,0,Clu
